"1","1","Seemed to work fine.","BJ Cook","2010-04-01","1"
"2","1","I tried this the first second you published it,it didn&#8217;t show the @anywhere, it said via Egg Boiling!","Blitz Surfer","2010-04-01","1"
"3","1","A lot of twitter apps (including mine) can make use of hovercard to display user info. I would use it as soon as it becomes available!","Nischal Shetty","2010-04-01","1"
"4","1","Worked a minute ago, now it&#8217;s pulled","Jonah Grant","2010-04-01","1"
"5","1","Yep. At 10:33pm pst it is down. I get an &#8220;index of&#8221; page. 20 minutes is a pretty good response time on their part. Only wish I had been faster. Thanks for the screenshots!","Joshua Guffey","2010-04-01","1"
"6","1","Now it&#8217;s down!I love &#8220;view source&#8221; option on browser","Tom","2010-04-01","1"
"7","1","So basically @anywhere is just an Oauth login system, just like my facebook-connect or Google Friends Connect? What&#8217;s the added value?First with OpenID and Oauth people are told they only need 1 login to get everywhere. Now it seems I have to decide wheter to use my google, twitter or facebook account to do this&#8230;. I still miss something","Erik","2010-04-01","1"
"8","1","second, this looks exactly like facebook connect, the only cool thing is the rollover, but even that isn&#8217;t that cool.","Andrew Furman","2010-04-02","1"
"9","1","Both brings login with their credentials, and post back to the mothership (Facebook or Twitter). Anything else though, because it sounds more phenomenal than that when announced.","Seika","2010-04-02","1"
"10","1","well it&#8217;s a great feature.I am waiting for this twitter hovercard to be released officially.","Jacobian","2010-04-01","1"
"11","1","Is eggboiling.com a joke?","Joseph","2010-04-01","1"
"12","1","Missed it","Martin","2010-04-01","1"
"13","1","This doesn&#8217;t appear to have any functionality beyond what&#8217;s available currently through twitter&#8217;s oauth API. The exception is the hover card, although this could certainly be built with the current API and a little javascript.While this is certainly to do with @anywhere it makes me wonder how twitter will handle third party competition with this service &#8211; will they add terms to the API to stop people competing, or will they remove or limit certain methods. Either way, it&#8217;s a worry.","James","2010-04-02","1"
"14","1","No kidding,  This is worst &#8230;.  still long way to go.","Rajan","2010-04-02","1"
"15","2","Is april fools over yet?","Jacob","2010-04-01","1"
"16","2","Perhaps Facebook should buy match.com &amp; GoDaddy. #facepalm","Billso","2010-04-01","1"
"17","2","This is what you called the after-effect.But social-networking dating sites aren&#8217;t that new, in fact, Thread, had already started this startup way back last year.","tren","2010-04-02","1"
"18","2","Uhh April Fool&#8217;s Day ended 39 minutes ago (EST).","Ibrahim Ali","2010-04-01","1"
"19","2","you&#8217;ve got two more hours of april fool&#8217;s day","TJ","2010-04-01","1"
